Aa	Ao	Fn	Pg	Sg	So	Va
K00800	K00831	K00882	K00845	K00858	K00878	K00872
K00806	K00845	K00891	K00849	K00859	K00882	K00873
K00813	K00847	K00912	K00857	K00864	K00891	K00882
K00817	K00848	K00919	K00858	K00865	K00901	K00891
K00820	K00849	K00925	K00859	K00867	K00917	K00912
K00826	K00850	K00927	K00865	K00868	K00925	K00919
K00831	K00852	K00928	K00876	K00869	K00927	K00925
K00833	K00857	K00936	K00891	K00872	K00928	K00927
K00849	K00858	K00939	K00895	K00873	K00931	K00928
K00850	K00859	K00941	K00912	K00876	K00936	K00930
K00851	K00864	K00942	K00919	K00882	K00938	K00931
K00852	K00865	K00943	K00925	K00891	K00939	K00936
K00854	K00867	K00945	K00927	K00897	K00940	K00937
K00857	K00868	K00948	K00928	K00901	K00941	K00939
K00858	K00869	K00949	K00937	K00917	K00942	K00940
K00859	K00872	K00951	K00939	K00925	K00943	K00941
K00865	K00873	K00954	K00942	K00926	K00945	K00942
K00867	K00886	K00962	K00945	K00927	K00948	K00943
K00868	K00891	K00963	K00946	K00928	K00949	K00945
K00872	K00895	K00965	K00948	K00930	K00951	K00946
K00873	K00925	K00969	K00949	K00931	K00954	K00948
K00874	K00926	K00974	K00950	K00936	K00962	K00950
K00876	K00927	K00975	K00951	K00938	K00963	K00951
K00880	K00930	K00979	K00954	K00939	K00965	K00954
K00882	K00931	K00980	K00962	K00942	K00969	K00962
K00884	K00937	K00981	K00969	K00943	K00973	K00963
K00885	K00938	K00983	K00970	K00945	K00974	K00969
K00891	K00939	K00991	K00971	K00948	K00975	K00979
K00901	K00940	K00995	K00973	K00949	K00981	K00981
K00912	K00942	K00997	K00979	K00951	K00991	K00983
K00919	K00945	K01000	K00980	K00954	K00995	K00989
K00925	K00946	K01006	K00981	K00962	K00997	K00991
K00926	K00948	K01012	K00991	K00963	K01000	K00997
K00927	K00951	K01034	K01000	K00965	K01005	K01000
K00931	K00954	K01035	K01006	K00969	K01056	K01007
K00939	K00957	K01039	K01008	K00973	K01060	K01008
K00940	K00962	K01040	K01012	K00974	K01071	K01011
K00941	K00963	K01046	K01034	K00975	K01079	K01012
K00942	K00969	K01056	K01035	K00981	K01081	K01056
K00943	K00970	K01069	K01056	K00991	K01090	K01057
