Aa	Ao	Fn	Pg	Sg	So	Va
K02570	K03305	K02914	K03424	K02902	K03046	K02990
K02573	K03306	K02916	K03437	K02904	K03048	K02992
K02574	K03307	K02919	K03438	K02906	K03060	K02994
K02600	K03308	K02926	K03439	K02907	K03070	K02996
K02601	K03310	K02931	K03442	K02909	K03073	K03040
K02619	K03311	K02933	K03453	K02911	K03075	K03043
K02621	K03316	K02935	K03466	K02913	K03076	K03046
K02622	K03335	K02939	K03469	K02914	K03086	K03060
K02647	K03336	K02946	K03470	K02916	K03095	K03070
K02651	K03337	K02948	K03473	K02919	K03100	K03072
K02656	K03338	K02950	K03474	K02926	K03101	K03073
K02679	K03340	K02952	K03495	K02931	K03106	K03074
K02680	K03386	K02954	K03496	K02933	K03110	K03075
K02681	K03402	K02956	K03497	K02935	K03111	K03076
K02682	K03424	K02959	K03498	K02939	K03151	K03086
K02686	K03427	K02961	K03499	K02945	K03152	K03091
K02687	K03431	K02963	K03501	K02946	K03168	K03100
K02742	K03437	K02965	K03502	K02948	K03177	K03101
K02770	K03438	K02967	K03503	K02950	K03205	K03106
K02777	K03439	K02968	K03517	K02952	K03210	K03110
K02779	K03449	K02982	K03521	K02954	K03215	K03111
K02784	K03453	K02986	K03522	K02956	K03216	K03116
K02794	K03466	K02988	K03524	K02959	K03217	K03118
K02795	K03469	K02990	K03525	K02961	K03218	K03147
K02796	K03470	K02992	K03526	K02963	K03282	K03150
K02800	K03484	K02994	K03527	K02965	K03284	K03168
K02804	K03496	K02996	K03530	K02967	K03294	K03169
K02806	K03497	K03040	K03531	K02968	K03308	K03177
K02821	K03499	K03043	K03536	K02970	K03310	K03183
K02822	K03501	K03046	K03544	K02982	K03311	K03210
K02824	K03521	K03060	K03545	K02986	K03316	K03215
K02825	K03523	K03070	K03550	K02988	K03322	K03216
K02834	K03524	K03072	K03551	K02990	K03324	K03217
K02835	K03526	K03073	K03553	K02992	K03327	K03218
K02836	K03527	K03074	K03555	K02994	K03342	K03270
K02837	K03530	K03075	K03558	K02996	K03346	K03271
K02838	K03531	K03076	K03559	K03040	K03367	K03272
K02843	K03536	K03086	K03561	K03043	K03402	K03273
K02851	K03544	K03088	K03564	K03046	K03424	K03274
K02858	K03545	K03091	K03565	K03048	K03429	K03282
K02860	K03550	K03092	K03569	K03060	K03431	K03284
K02863	K03551	K03100	K03570	K03070	K03436	K03296
K02864	K03553	K03101	K03572	K03073	K03437	K03303
K02867	K03564	K03106	K03575	K03075	K03438	K03306
K02871	K03565	K03110	K03584	K03076	K03439	K03310
K02874	K03574	K03111	K03587	K03086	K03442	K03311
K02876	K03584	K03147	K03588	K03095	K03449	K03312
K02878	K03587	K03148	K03589	K03100	K03466	K03313
K02879	K03588	K03149	K03590	K03101	K03470	K03315
K02881	K03589	K03150	K03593	K03106	K03471	K03319
K02884	K03593	K03152	K03595	K03110	K03484	K03320
K02886	K03595	K03154	K03596	K03111	K03486	K03322
K02887	K03596	K03168	K03601	K03116	K03495	K03326
K02888	K03624	K03169	K03602	K03118	K03497	K03327
K02890	K03625	K03177	K03612	K03151	K03498	K03328
K02892	K03635	K03195	K03613	K03152	K03499	K03340
K02895	K03637	K03196	K03614	K03168	K03500	K03386
K02897	K03639	K03197	K03615	K03177	K03501	K03389
K02899	K03644	K03199	K03617	K03179	K03523	K03394
K02902	K03647	K03200	K03624	K03210	K03524	K03399
K02904	K03648	K03204	K03625	K03215	K03529	K03402
K02906	K03652	K03205	K03628	K03216	K03530	K03404
K02909	K03654	K03210	K03629	K03217	K03531	K03424
K02911	K03655	K03215	K03630	K03218	K03536	K03427
K02913	K03657	K03216	K03631	K03282	K03544	K03429
K02914	K03664	K03217	K03640	K03284	K03545	K03431
K02919	K03671	K03218	K03644	K03294	K03550	K03437
K02926	K03684	K03270	K03648	K03309	K03551	K03438
K02931	K03685	K03271	K03650	K03311	K03553	K03439
K02933	K03686	K03274	K03654	K03322	K03555	K03442
K02935	K03687	K03282	K03655	K03324	K03565	K03453
K02939	K03696	K03284	K03657	K03327	K03570	K03458
K02945	K03701	K03286	K03664	K03332	K03571	K03466
K02946	K03702	K03287	K03665	K03342	K03572	K03469
K02948	K03703	K03292	K03671	K03346	K03574	K03470
K02950	K03709	K03294	K03685	K03366	K03575	K03475
K02952	K03710	K03296	K03686	K03367	K03581	K03495
K02954	K03711	K03307	K03687	K03402	K03584	K03496
K02956	K03727	K03308	K03695	K03424	K03588	K03497
K02959	K03733	K03310	K03696	K03427	K03589	K03498
K02961	K03743	K03311	K03701	K03429	K03590	K03499
K02963	K03762	K03312	K03702	K03431	K03595	K03500
K02965	K03767	K03315	K03703	K03436	K03596	K03501
K02967	K03776	K03324	K03709	K03437	K03601	K03502
K02968	K03781	K03386	K03711	K03438	K03602	K03518
K02970	K03783	K03394	K03718	K03439	K03621	K03521
K02982	K03784	K03399	K03723	K03442	K03624	K03522
K02986	K03789	K03423	K03733	K03449	K03625	K03523
K02988	K03790	K03424	K03734	K03466	K03629	K03524
K02990	K03799	K03427	K03737	K03470	K03630	K03525
K02992	K03801	K03431	K03743	K03471	K03631	K03526
K02994	K03820	K03436	K03744	K03475	K03647	K03527
K02996	K03892	K03437	K03768	K03484	K03648	K03529
K03040	K03924	K03438	K03770	K03486	K03650	K03530
K03043	K03925	K03442	K03771	K03488	K03655	K03531
K03046	K03969	K03469	K03772	K03491	K03657	K03536
K03060	K03975	K03470	K03773	K03495	K03664	K03544
K03070	K03977	K03495	K03775	K03497	K03665	K03545
K03071	K03979	K03498	K03783	K03498	K03671	K03546
K03072	K03980	K03499	K03786	K03499	K03685	K03547
K03073	K04043	K03500	K03787	K03500	K03686	K03550
K03074	K04066	K03501	K03797	K03501	K03687	K03551
K03075	K04069	K03517	K03798	K03502	K03693	K03553
K03076	K04077	K03521	K03801	K03523	K03696	K03555
K03078	K04078	K03522	K03803	K03524	K03697	K03559
K03082	K04092	K03523	K03811	K03529	K03698	K03561
K03086	K04096	K03524	K03816	K03530	K03699	K03565
K03088	K04488	K03525	K03832	K03531	K03700	K03569
K03089	K04518	K03526	K03839	K03536	K03701	K03570
K03100	K04561	K03527	K03924	K03544	K03702	K03571
K03101	K04564	K03529	K03973	K03545	K03703	K03572
K03106	K04567	K03530	K03976	K03550	K03705	K03574
K03110	K04750	K03531	K03977	K03551	K03706	K03575
K03111	K04756	K03536	K03978	K03553	K03707	K03581
K03113	K04759	K03544	K03979	K03555	K03708	K03585
K03116	K04761	K03545	K04041	K03565	K03709	K03587
K03117	K04762	K03546	K04043	K03570	K03710	K03588
K03118	K04763	K03550	K04047	K03572	K03713	K03589
K03151	K05341	K03551	K04066	K03574	K03722	K03595
K03168	K05343	K03553	K04068	K03575	K03723	K03596
K03169	K05349	K03555	K04075	K03577	K03734	K03601
K03177	K05364	K03558	K04077	K03581	K03739	K03602
K03181	K05521	K03559	K04078	K03584	K03740	K03605
K03210	K05595	K03561	K04079	K03588	K03742	K03609
K03212	K05602	K03565	K04084	K03589	K03744	K03618
K03214	K05786	K03569	K04096	K03590	K03763	K03620
K03215	K05794	K03570	K04485	K03595	K03767	K03621
K03216	K05810	K03572	K04516	K03596	K03768	K03624
K03217	K05838	K03584	K04564	K03601	K03783	K03625
K03218	K05845	K03587	K04567	K03602	K03784	K03629
K03269	K05846	K03588	K04720	K03605	K03785	K03630
K03270	K05847	K03589	K04759	K03621	K03789	K03631
K03271	K05878	K03590	K04761	K03624	K03798	K03637
K03272	K05879	K03595	K04762	K03625	K03799	K03638
K03273	K05882	K03596	K04763	K03629	K03800	K03639
K03274	K05896	K03601	K04773	K03630	K03811	K03650
K03282	K06024	K03602	K05366	K03631	K03816	K03654
K03284	K06044	K03608	K05515	K03647	K03828	K03655
K03286	K06048	K03609	K05592	K03648	K03930	K03657
K03297	K06131	K03610	K05595	K03650	K03976	K03664
K03299	K06147	K03612	K05601	K03655	K03977	K03671
K03303	K06153	K03613	K05606	K03657	K03978	K03685
K03306	K06168	K03614	K05807	K03664	K03979	K03686
K03308	K06178	K03615	K05837	K03665	K04042	K03687
K03310	K06180	K03617	K05979	K03671	K04043	K03696
K03311	K06187	K03621	K06041	K03685	K04045	K03699
K03312	K06191	K03625	K06131	K03686	K04047	K03701
K03314	K06200	K03628	K06142	K03687	K04066	K03702
K03315	K06207	K03629	K06147	K03693	K04068	K03703
K03317	K06215	K03630	K06153	K03696	K04069	K03704
K03319	K06217	K03631	K06158	K03697	K04072	K03705
K03321	K06287	K03648	K06168	K03698	K04074	K03708
K03326	K06346	K03650	K06173	K03699	K04075	K03711
K03327	K06860	K03653	K06178	K03700	K04077	K03723
K03335	K06891	K03654	K06180	K03701	K04078	K03737
K03336	K06901	K03655	K06187	K03702	K04083	K03742
K03337	K06902	K03657	K06201	K03703	K04086	K03744
K03338	K06910	K03665	K06207	K03705	K04094	K03750
K03385	K06915	K03671	K06213	K03706	K04096	K03756
K03402	K06925	K03685	K06217	K03708	K04485	K03763
K03424	K06941	K03686	K06223	K03709	K04487	K03768
K03426	K06942	K03687	K06287	K03710	K04488	K03779
K03431	K06958	K03695	K06861	K03713	K04516	K03780
K03435	K06960	K03699	K06872	K03722	K04517	K03785
K03438	K06966	K03701	K06881	K03723	K04518	K03787
K03439	K06976	K03702	K06889	K03734	K04564	K03789
K03446	K06988	K03703	K06890	K03739	K04567	K03797
K03466	K06997	K03704	K06901	K03740	K04767	K03798
K03469	K07009	K03705	K06915	K03742	K05337	K03799
K03470	K07024	K03716	K06917	K03744	K05352	K03816
K03475	K07025	K03722	K06920	K03763	K05362	K03823
K03476	K07029	K03723	K06925	K03767	K05366	K03832
K03477	K07040	K03734	K06926	K03768	K05521	K03855
K03495	K07042	K03735	K06941	K03783	K05592	K03856
K03498	K07052	K03736	K06942	K03784	K05593	K03892
K03499	K07054	K03737	K06949	K03785	K05808	K03925
K03500	K07058	K03742	K06950	K03789	K05823	K03976
K03501	K07062	K03744	K06969	K03798	K05833	K03977
K03524	K07067	K03763	K06997	K03799	K05837	K03978
K03526	K07075	K03768	K07001	K03800	K05846	K03979
K03527	K07082	K03770	K07003	K03811	K05847	K04042
K03528	K07084	K03775	K07005	K03816	K05896	K04043
K03531	K07085	K03778	K07011	K03823	K05985	K04047
K03536	K07088	K03784	K07012	K03828	K06023	K04066
K03543	K07090	K03786	K07024	K03930	K06024	K04068
K03544	K07112	K03789	K07025	K03976	K06131	K04069
K03545	K07114	K03796	K07027	K03977	K06147	K04075
K03548	K07118	K03797	K07029	K03978	K06148	K04077
K03550	K07124	K03798	K07037	K03979	K06153	K04078
K03551	K07132	K03799	K07052	K04041	K06158	K04083
K03553	K07133	K03803	K07054	K04042	K06173	K04086
K03554	K07154	K03832	K07056	K04043	K06178	K04094
K03555	K07164	K03839	K07058	K04047	K06180	K04095
K03556	K07173	K03856	K07071	K04066	K06183	K04096
K03557	K07177	K03892	K07082	K04068	K06187	K04485
K03558	K07183	K03976	K07085	K04069	K06188	K04486
K03559	K07214	K03977	K07090	K04072	K06191	K04488
K03560	K07223	K03978	K07091	K04074	K06193	K04564
K03561	K07224	K03979	K07095	K04075	K06196	K04567
K03562	K07243	K03980	K07098	K04077	K06198	K04651
K03563	K07250	K04019	K07106	K04078	K06199	K04652
K03564	K07259	K04023	K07107	K04083	K06201	K04653
K03565	K07272	K04024	K07114	K04086	K06207	K04654
K03566	K07282	K04026	K07133	K04094	K06215	K04656
K03568	K07284	K04027	K07137	K04096	K06217	K04720
K03569	K07304	K04028	K07139	K04485	K06223	K04744
K03570	K07334	K04029	K07164	K04486	K06286	K04751
K03571	K07335	K04030	K07173	K04487	K06346	K04758
K03572	K07341	K04031	K07175	K04488	K06442	K04759
K03573	K07386	K04032	K07240	K04516	K06518	K05311
K03574	K07393	K04041	K07259	K04517	K06872	K05515
K03575	K07400	K04042	K07263	K04518	K06878	K05521
K03576	K07407	K04043	K07277	K04564	K06881	K05540
K03578	K07442	K04047	K07282	K04567	K06885	K05592
K03581	K07447	K04066	K07301	K04750	K06890	K05601
K03582	K07458	K04068	K07322	K04767	K06896	K05606
K03583	K07460	K04069	K07386	K05337	K06901	K05786
K03585	K07465	K04075	K07391	K05362	K06920	K05808
K03586	K07473	K04077	K07405	K05363	K06925	K05810
K03587	K07478	K04078	K07407	K05366	K06929	K05825
K03588	K07497	K04079	K07444	K05521	K06940	K05832
K03590	K07503	K04083	K07447	K05592	K06941	K05833
K03591	K07507	K04094	K07448	K05593	K06942	K05837
K03592	K07654	K04096	K07456	K05595	K06948	K05895
K03593	K07658	K04485	K07460	K05808	K06949	K05896
K03595	K07670	K04487	K07462	K05823	K06950	K05919
K03596	K07684	K04488	K07464	K05832	K06958	K05934
K03597	K07693	K04567	K07478	K05833	K06959	K05936
K03598	K07727	K04720	K07560	K05837	K06960	K05946
K03599	K07729	K04749	K07566	K05846	K06967	K05985
K03600	K07736	K04754	K07568	K05847	K06969	K06016
K03601	K07738	K04757	K07588	K05896	K06997	K06024
K03602	K07742	K04763	K07689	K05985	K07007	K06041
K03603	K07746	K04773	K07787	K05995	K07009	K06042
K03604	K07768	K05366	K08281	K06023	K07010	K06142
K03607	K07776	K05367	K08301	K06024	K07015	K06147
K03610	K07778	K05515	K08303	K06131	K07017	K06153
K03611	K07792	K05521	K08307	K06147	K07024	K06158
K03612	K07979	K05592	K08325	K06148	K07025	K06168
K03613	K08167	K05601	K08589	K06153	K07029	K06173
K03614	K08256	K05808	K08590	K06173	K07030	K06178
K03615	K08281	K05810	K08641	K06177	K07040	K06180
K03616	K08289	K05832	K08998	K06178	K07042	K06183
K03617	K08296	K05833	K09000	K06180	K07052	K06187
K03621	K08300	K05837	K09013	K06183	K07056	K06193
K03624	K08483	K05846	K09014	K06187	K07058	K06199
K03625	K08681	K05847	K09015	K06188	K07074	K06200
K03628	K08884	K05878	K09022	K06191	K07082	K06206
K03629	K08972	K05879	K09117	K06193	K07089	K06207
K03630	K08978	K05895	K09155	K06196	K07095	K06209
K03631	K08987	K05896	K09181	K06198	K07104	K06217
K03632	K08998	K05934	K09457	K06199	K07105	K06281
K03633	K09009	K05936	K09458	K06201	K07124	K06282
K03634	K09013	K05964	K09748	K06207	K07139	K06287
K03635	K09014	K05966	K09760	K06217	K07146	K06346
K03636	K09015	K05985	K09761	K06286	K07166	K06381
K03637	K09019	K05995	K09789	K06330	K07170	K06409
K03639	K09022	K06015	K09797	K06346	K07171	K06442
K03640	K09118	K06023	K09808	K06442	K07173	K06726
K03641	K09136	K06024	K09810	K06518	K07177	K06861
K03642	K09138	K06041	K09811	K06878	K07258	K06864
K03643	K09153	K06042	K09812	K06881	K07260	K06871
K03644	K09162	K06076	K09815	K06885	K07271	K06881
K03645	K09167	K06131	K09816	K06889	K07273	K06890
K03646	K09684	K06142	K09817	K06890	K07282	K06895
K03648	K09690	K06143	K09861	K06893	K07284	K06898
K03650	K09691	K06147	K09888	K06896	K07313	K06901
K03651	K09710	K06148	K09903	K06901	K07335	K06911
K03654	K09748	K06153	K09973	K06925	K07386	K06920
K03655	K09762	K06158	K10716	K06929	K07404	K06921
K03656	K09767	K06168	K10773	K06940	K07444	K06925
K03657	K09772	K06173	K11065	K06941	K07447	K06926
K03664	K09780	K06178	K11085	K06942	K07456	K06929
K03666	K09781	K06179	K11105	K06948	K07461	K06941
K03667	K09791	K06180	K11175	K06949	K07462	K06942
K03671	K09811	K06183	K11537	K06950	K07478	K06949
K03673	K09812	K06187	K11717	K06958	K07491	K06950
K03674	K09816	K06196	K11720	K06959	K07533	K06956
K03675	K09858	K06199	K11749	K06960	K07560	K06958
K03683	K09861	K06201	K11752	K06967	K07566	K06959
K03684	K09903	K06207	K11753	K06969	K07568	K06960
K03685	K09956	K06209	K11754	K06997	K07570	K06962
K03686	K10005	K06213	K11996	K07004	K07574	K06967
K03687	K10006	K06215	K12251	K07007	K07584	K06972
K03695	K10007	K06218	K12257	K07009	K07586	K06997
K03701	K10008	K06223	K12267	K07010	K07652	K07005
K03702	K10112	K06287	K12340	K07015	K07668	K07007
K03703	K10117	K06346	K12373	K07023	K07718	K07010
K03704	K10118	K06381	K12410	K07024	K07720	K07024
K03711	K10119	K06412	K12573	K07025	K07729	K07027
K03718	K10716	K06442	K12960	K07029	K07738	K07029
K03719	K10773	K06518	K13016	K07030	K07742	K07033
K03720	K10805	K06861	K13018	K07040	K07778	K07040
K03721	K10843	K06881	K13038	K07042	K07816	K07042
K03722	K10947	K06885	K13730	K07052	K07862	K07043
K03723	K11065	K06889	K13747	K07054	K08303	K07053
K03732	K11068	K06890	K13789	K07056	K08316	K07056
K03733	K11189	K06894	K14441	K07058	K08483	K07082
K03734	K11263	K06895	K14534	K07078	K08591	K07088
K03745	K11533	K06901	K14652	K07082	K08600	K07089
K03746	K11717	K06919	K14742	K07088	K08602	K07090
K03748	K11733	K06925	K15342	K07089	K08681	K07095
K03750	K11737	K06941	K15460	K07095	K08884	K07098
K03752	K11738	K06942	K15738	K07104	K08974	K07099
K03753	K11754	K06948	K15876	K07105	K08978	K07107
K03764	K11928	K06949	K16089	K07124	K08986	K07133
K03768	K11996	K06950	K16092	K07139	K08998	K07137
K03770	K12308	K06958	K16264	K07146	K09013	K07139
K03771	K12410	K06959	K16345	K07166	K09014	K07141
K03772	K12510	K06960	K16363	K07170	K09015	K07150
K03773	K12511	K06966	K17103	K07173	K09022	K07160
K03775	K12574	K06969	K17759	K07177	K09155	K07166
K03778	K13038	K06975	K17828	K07192	K09157	K07183
K03781	K13288	K06997	K18011	K07224	K09457	K07220
K03784	K13527	K07001	K18012	K07243	K09458	K07258
K03786	K13570	K07005	K18013	K07258	K09685	K07277
K03787	K13571	K07006	K18014	K07260	K09698	K07318
K03788	K13572	K07010	K18119	K07271	K09704	K07326
K03789	K13573	K07012	K18120	K07272	K09710	K07339
K03797	K13633	K07024	K18122	K07273	K09747	K07341
K03798	K13787	K07027	K18346	K07282	K09748	K07391
K03799	K13788	K07030	NA	K07284	K09760	K07402
K03801	K14155	K07035	NA	K07313	K09761	K07447
K03803	K14161	K07037	NA	K07334	K09762	K07455
K03804	K14162	K07042	NA	K07335	K09765	K07456
K03806	K14652	K07043	NA	K07386	K09772	K07459
K03808	K14698	K07045	NA	K07404	K09787	K07460
K03811	K14742	K07050	NA	K07443	K09790	K07462
K03813	K14761	K07052	NA	K07444	K09811	K07478
K03814	K15269	K07053	NA	K07447	K09812	K07491
K03820	K15533	K07056	NA	K07456	K09815	K07552
K03831	K15581	K07058	NA	K07461	K09816	K07566
K03832	K15582	K07067	NA	K07462	K09817	K07568
K03833	K15634	K07069	NA	K07478	K09861	K07571
K03834	K15770	K07082	NA	K07533	K09903	K07574
K03835	K15771	K07084	NA	K07560	K09962	K07584
K03837	K15772	K07085	NA	K07566	K09976	K07588
K03839	K16013	K07088	NA	K07568	K10026	K07590
K03841	K16146	K07090	NA	K07570	K10039	K07665
K03885	K16148	K07091	NA	K07574	K10040	K07738
K03925	K16211	K07095	NA	K07584	K10041	K07742
K03929	K16264	K07097	NA	K07586	K10112	K07791
K03977	K16301	K07105	NA	K07652	K10530	K07792
K03978	K16698	K07107	NA	K07668	K10536	K07862
K03979	K16787	K07114	NA	K07706	K10563	K08161
K03980	K16870	K07120	NA	K07707	K10681	K08223
K03981	K16925	K07124	NA	K07718	K10682	K08301
K04013	K16937	K07133	NA	K07720	K10773	K08303
K04014	K17315	K07137	NA	K07727	K10819	K08309
K04015	K17316	K07139	NA	K07729	K10823	K08325
K04016	K17317	K07150	NA	K07738	K10947	K08483
K04042	K17810	K07154	NA	K07742	K11041	K08590
K04043	K17947	K07160	NA	K07778	K11065	K08591
K04044	K18230	K07173	NA	K07816	K11068	K08680
K04047	K18352	K07183	NA	K07862	K11069	K08722
K04062	NA	K07192	NA	K08217	K11070	K08884
K04066	NA	K07213	NA	K08234	K11071	K08963
K04067	NA	K07230	NA	K08303	K11072	K08989
K04068	NA	K07240	NA	K08310	K11144	K09002
K04069	NA	K07243	NA	K08316	K11145	K09013
K04072	NA	K07258	NA	K08483	K11175	K09014
K04075	NA	K07271	NA	K08591	K11189	K09022
K04077	NA	K07274	NA	K08600	K11617	K09117
K04078	NA	K07277	NA	K08602	K11618	K09121
K04079	NA	K07313	NA	K08643	K11704	K09155
K04082	NA	K07315	NA	K08659	K11705	K09157
K04083	NA	K07319	NA	K08884	K11706	K09162
K04084	NA	K07334	NA	K08974	K11717	K09457
K04085	NA	K07391	NA	K08986	K11749	K09458
K04087	NA	K07444	NA	K08987	K11753	K09477
K04088	NA	K07447	NA	K08998	K11754	K09685
K04095	NA	K07456	NA	K09013	K11991	K09698
K04096	NA	K07459	NA	K09014	K12251	K09710
K04485	NA	K07460	NA	K09015	K12267	K09729
K04487	NA	K07461	NA	K09022	K12268	K09747
K04488	NA	K07462	NA	K09134	K12269	K09748
K04564	NA	K07464	NA	K09153	K12270	K09761
K04565	NA	K07473	NA	K09155	K12292	K09762
K04567	NA	K07474	NA	K09157	K12293	K09767
K04568	NA	K07478	NA	K09458	K12294	K09771
K04651	NA	K07485	NA	K09685	K12295	K09772
K04652	NA	K07491	NA	K09698	K12296	K09773
K04653	NA	K07496	NA	K09704	K12308	K09774
K04654	NA	K07507	NA	K09710	K12373	K09775
K04655	NA	K07559	NA	K09747	K12410	K09777
K04656	NA	K07560	NA	K09748	K12555	K09787
K04691	NA	K07566	NA	K09760	K12556	K09790
K04744	NA	K07568	NA	K09761	K12573	K09800
K04751	NA	K07574	NA	K09762	K12574	K09807
K04753	NA	K07584	NA	K09765	K12960	K09811
K04754	NA	K07678	NA	K09772	K12996	K09812
K04755	NA	K07712	NA	K09773	K13052	K09815
K04760	NA	K07718	NA	K09787	K13292	K09816
K04761	NA	K07738	NA	K09790	K13653	K09817
K04762	NA	K07742	NA	K09811	K13678	K09824
K04763	NA	K07793	NA	K09812	K13734	K09825
K04764	NA	K08301	NA	K09815	K13747	K09861
K04765	NA	K08303	NA	K09816	K13789	K09903
K04770	NA	K08483	NA	K09817	K13940	K09949
K04772	NA	K08591	NA	K09825	K14155	K09952
K04773	NA	K08602	NA	K09861	K14188	K10026
K04774	NA	K08974	NA	K09903	K14260	K10206
K05365	NA	K08978	NA	K09925	K14540	K10439
K05366	NA	K08998	NA	K09951	K14982	K10440
K05367	NA	K09022	NA	K09952	K14983	K10441
K05501	NA	K09123	NA	K09962	K15051	K10773
K05515	NA	K09125	NA	K09963	K15580	K10823
K05516	NA	K09128	NA	K09976	K15581	K10947
K05527	NA	K09155	NA	K10112	K15582	K11065
K05539	NA	K09458	NA	K10120	K15583	K11085
K05540	NA	K09729	NA	K10121	K15634	K11145
K05541	NA	K09747	NA	K10122	K15738	K11175
K05589	NA	K09748	NA	K10439	K15770	K11189
K05590	NA	K09761	NA	K10563	K15771	K11707
K05592	NA	K09762	NA	K10670	K15772	K11708
K05595	NA	K09765	NA	K10681	K15923	K11709
K05685	NA	K09769	NA	K10682	K15986	K11710
K05775	NA	K09772	NA	K10716	K16169	K11717
K05786	NA	K09778	NA	K10773	K16264	K11719
K05787	NA	K09787	NA	K10819	K16509	K11720
K05788	NA	K09789	NA	K10823	K16511	K11733
K05801	NA	K09790	NA	K10947	K16785	K11737
K05802	NA	K09802	NA	K11041	K16786	K11749
K05803	NA	K09808	NA	K11050	K16787	K11752
K05807	NA	K09810	NA	K11051	K16788	K11753
K05809	NA	K09811	NA	K11065	K16868	K11754
K05810	NA	K09815	NA	K11068	K16898	K11928
K05837	NA	K09816	NA	K11069	K16899	K12267
K05838	NA	K09817	NA	K11070	K16923	K12506
K05844	NA	K09825	NA	K11071	K16925	K12573
K05846	NA	K09861	NA	K11072	K16926	K12574
K05847	NA	K09903	NA	K11144	K16957	K12733
K05851	NA	K09935	NA	K11145	K16958	K12960
K05939	NA	K09949	NA	K11175	K16959	K13038
K05952	NA	K10540	NA	K11189	K16960	K13256
K05995	NA	K10541	NA	K11209	K17074	K13292
K06039	NA	K10542	NA	K11617	K17076	K13498
K06041	NA	K10773	NA	K11618	K17318	K13542
K06076	NA	K10824	NA	K11704	K17319	K13643
K06077	NA	K11066	NA	K11705	K17320	K13789
K06131	NA	K11068	NA	K11706	K17624	K13818
K06133	NA	K11069	NA	K11717	K17686	K13888
K06142	NA	K11070	NA	K11749	K17828	K14155
K06145	NA	K11071	NA	K11753	NA	K14170
K06147	NA	K11072	NA	K11754	NA	K14441
K06148	NA	K11085	NA	K11991	NA	K14540
K06149	NA	K11105	NA	K12267	NA	K14652
K06158	NA	K11145	NA	K12268	NA	K14761
K06168	NA	K11175	NA	K12269	NA	K15125
K06173	NA	K11189	NA	K12270	NA	K15580
K06175	NA	K11690	NA	K12292	NA	K15581
K06176	NA	K11707	NA	K12293	NA	K15582
K06177	NA	K11708	NA	K12294	NA	K15583
K06178	NA	K11709	NA	K12295	NA	K15633
K06179	NA	K11720	NA	K12296	NA	K15738
K06180	NA	K11749	NA	K12308	NA	K15977
K06181	NA	K11752	NA	K12373	NA	K15986
K06183	NA	K11753	NA	K12410	NA	K16014
K06186	NA	K11754	NA	K12554	NA	K16092
K06187	NA	K11928	NA	K12555	NA	K16651
K06189	NA	K12267	NA	K12556	NA	K16785
K06190	NA	K12370	NA	K12573	NA	K16786
K06193	NA	K12410	NA	K12574	NA	K16787
K06194	NA	K12573	NA	K12960	NA	K16788
K06196	NA	K12574	NA	K12996	NA	K16789
K06202	NA	K12942	NA	K12997	NA	K16898
K06203	NA	K12950	NA	K13012	NA	K16899
K06204	NA	K13038	NA	K13052	NA	K17103
K06205	NA	K13052	NA	K13292	NA	K17677
K06206	NA	K13292	NA	K13653	NA	K17686
K06207	NA	K13542	NA	K13789	NA	K17759
K06211	NA	K13653	NA	K13940	NA	K17828
K06212	NA	K13789	NA	K13953	NA	K17836
K06218	NA	K13919	NA	K14155	NA	K18118
K06223	NA	K13920	NA	K14188	NA	K18302
K06518	NA	K13922	NA	K14260	NA	NA
K06726	NA	K13940	NA	K14540	NA	NA
K06861	NA	K14155	NA	K14982	NA	NA
K06866	NA	K14392	NA	K14983	NA	NA
K06879	NA	K14540	NA	K15051	NA	NA
K06889	NA	K14652	NA	K15383	NA	NA
K06890	NA	K14761	NA	K15580	NA	NA
K06894	NA	K15024	NA	K15581	NA	NA
K06899	NA	K15125	NA	K15582	NA	NA
K06901	NA	K15256	NA	K15583	NA	NA
K06910	NA	K15342	NA	K15634	NA	NA
K06911	NA	K15553	NA	K15738	NA	NA
K06915	NA	K15554	NA	K15770	NA	NA
K06918	NA	K15555	NA	K15771	NA	NA
K06920	NA	K15584	NA	K15772	NA	NA
K06925	NA	K15586	NA	K15986	NA	NA
K06941	NA	K15587	NA	K16169	NA	NA
K06942	NA	K15634	NA	K16264	NA	NA
K06949	NA	K15986	NA	K16301	NA	NA
K06957	NA	K15987	NA	K16509	NA	NA
K06958	NA	K16214	NA	K16511	NA	NA
K06959	NA	K16785	NA	K16785	NA	NA
K06966	NA	K16786	NA	K16786	NA	NA
K06968	NA	K16787	NA	K16787	NA	NA
K06975	NA	K16950	NA	K16788	NA	NA
K06980	NA	K16951	NA	K16868	NA	NA
K06997	NA	K17103	NA	K16898	NA	NA
K07001	NA	K17677	NA	K16899	NA	NA
K07007	NA	K17686	NA	K16923	NA	NA
K07012	NA	K17828	NA	K16924	NA	NA
K07014	NA	K17836	NA	K16926	NA	NA
K07024	NA	K18011	NA	K17074	NA	NA
K07025	NA	K18012	NA	K17076	NA	NA
K07040	NA	K18013	NA	K17103	NA	NA
K07042	NA	K18014	NA	K17318	NA	NA
K07053	NA	K18122	NA	K17319	NA	NA
K07054	NA	NA	NA	K17320	NA	NA
K07056	NA	NA	NA	K17686	NA	NA
K07058	NA	NA	NA	K17828	NA	NA
K07071	NA	NA	NA	NA	NA	NA
K07082	NA	NA	NA	NA	NA	NA
